,Sentences
715,  id there a mina bakery in chinatown
716,  if want only organic vegetables and fruits in my dishes which restaurant is best
717,  im craving twice baked potatoes where do they serve them in a ten mile radius
718,  im feeling a little down so id like go somewhere thats really bright and fun for breakfast
719,  im hungry and i feel like eating chinese
720,  im hungry and want a tasty burger
721,  im hungry find me a restaurant with large portions
722,  im hungry for a steak any good restaurants around
723,  im hungry for thai
724,  im hungry lets get some tacos
725,  im in a hurry wheres a place i can get a quick meal
726,  im in the mood for chinese food
727,  im in the mood for chinese which restaurants nearby have the best ratings
728,  im in the mood for mexican food
729,  im in the mood for some texas chili
730,  im in the mood for something light
731,  im in the mood to eat something ive never tried before can you find me something like that
732,  im looking for a 5 star restaurant whats the closest one
733,  im looking for a chinese restureant thats moderate
734,  im looking for a diner along my route
735,  im looking for a family style restaurant so i can eat at the bar anything within two miles
736,  im looking for a nice place to eat for me and my girlfriends one year anniversary where i can schedule romantic candles and flowers for her
737,  im looking for a pizza restaurant that has buffalo chicken where i can eat in i only have a credit card
738,  im looking for a place that serves apple pie
739,  im looking for a romantic restaurant where are some near me
740,  im looking for a top of the line steak place with valet parking
741,  im looking for an all you can eat mexican buffet
742,  im looking for an asian buffet
743,  im looking for cheap spanish cuisine
744,  im looking for some nearby brazilian food for a special occasion
745,  im looking for somewhere i can get a lot of food for not too much money
746,  im looking for somewhere to get affordable sushi
747,  im looking for somewhere with a good wine list within a mile of here that is open before ten in the morning
748,  im low on cash where is the nearest atm
749,  im on a budget but i want to eat can you suggest something
750,  im on a really tight budget but im hungry help me out
751,  im really hungry take me to the closest restaurant
752,  im starving help me find a fast food restaurant
753,  im starving is there a restaurant that sells shawarma here
754,  im starving so fast food will do
755,  im starving tell me where the closest mcdonalds is
756,  im thinking spanish tapas is there one in port
757,  im trying to find a family friendly restaurant with a gift shop within 10 miles of sunswept hotel in orange beach
758,  in which restaurants can one smoke
759,  indian restraunt
760,  is a dairy queen nearby
761,  is albertos deli open until 11 pm
762,  is azita restaurant a date spot
763,  is bambinos restaurant close by
764,  is chepes restaurant on the way
765,  is chickfila open today
766,  is dave and busters a good lunch spot
767,  is deluna pizza open after midnight
768,  is fitzys pub in san jose family friendly
769,  is golden house restaurant kids friendly
770,  is izzys ice cream shop open right now
771,  is jade garden within a mile of my current location
772,  is outback having any specials today
773,  is panera bread open for breakfast
774,  is papa johns on cradle way still open
775,  is pasquales still located on dayton street
776,  is quiznos open for breakfast
777,  is ruby tuesdays in chattanooga tn romantic
778,  is santa ramen in san mateo busy on thursday nights
779,  is sidney and hampton an expensive hotel restaurant
780,  is the a chau restaurant within a mile from here a local favorite
781,  is the amaral manuel near here open after 12 pm
782,  is the chateau restaurant affordable
783,  is the hoseas restaurant nearby and does it offer live music
784,  is the mcdonalds near my house open after midnight
785,  is the pasteur restaurant a good place for lunch are they expensive
786,  is the patio at the butcher and the boar dog friendly
787,  is the pizza place closer than the chinese restaurant
788,  is the pricing fair
789,  is the restaurant pushcart open until 11 am
790,  is the rubios fresh mex grill within 10 miles from my house a hidden find
791,  is the seven seas diner expensive
792,  is the silverbull steakhouse open seven days a week
793,  is the tea garden restaurant in medford good for a date night
794,  is the twirl pasta in north end a good place for a business lunch
795,  is the tylers restaurant in baltimore a little pricey
796,  is there a an indian restaurant in this town
797,  is there a bakery near here
798,  is there a bar that stays open after 2 am that is within a 5 minute distance
799,  is there a benihana in this city
800,  is there a bojangles in laurel
801,  is there a breakfast place that has valet parking
802,  is there a business dining restaurant where i can get cakes until 1 am
803,  is there a cafe that serves frog legs in fort worth
804,  is there a cheap fast food restaurant nearby
805,  is there a cheap vegetarian restaurant nearby
806,  is there a chick fil a within 5 miles of here
807,  is there a chinese buffet that serves family style
808,  is there a chinese restaurant in the midvale mall
809,  is there a chipotle located with in a mile of where i am now
810,  is there a ciao bella on holyoke st
811,  is there a club diner in watertown with a bar
812,  is there a deli nearby that takes credit cards and is open right now
813,  is there a diner with a patio in boxford
814,  is there a donut and donuts restaurant within 5 miles with a beer list
815,  is there a dress code and yuris dine in restaurant
816,  is there a five star restaurant or bar open late
817,  is there a good diner in oakland
818,  is there a good place to eat close by
819,  is there a good vegan restaurant for kids
820,  is there a halal place downtown where i could eat outside
821,  is there a hidden tudors biscut world in this town
822,  is there a hooters in this area
823,  is there a jacks restaurant around here
824,  is there a japanese restraunt near by
825,  is there a korean restaurant that is smoker friendly
826,  is there a korean restaurant with nice decor and open late
827,  is there a late night place in west newbury where i can smoke
828,  is there a location of field corner restaurant near by that has a happy hour
829,  is there a malaysian restaurant near roxbury crossing
830,  is there a mall with a food court around here
831,  is there a mcdonalds between here and my destination
832,  is there a mcdonalds nearby
833,  is there a mcdonalds within two miles of here
834,  is there a mexican restaurant near here with large portion sizes
835,  is there a moderately priced french restaurant in this area
836,  is there a nice place in the theater district that wont drain my wallet
837,  is there a nicely decorated restaurant in sacramento with a fireplace
838,  is there a olive garden nearby
839,  is there a pancake house nearby
840,  is there a patio at w a frost
841,  is there a place near by that serves tapas
842,  is there a place that serves breakfast this late
843,  is there a place that will let me bring my own alcohol
844,  is there a place to eat in the abington theatre district open after midnight
845,  is there a place to eat that has a friendly and cheerful atmosphere and offers steak on the menu
846,  is there a place to eat that is still open at 10 pm close by
847,  is there a place to get high tea nearby
848,  is there a place with walking distance of the cinema that serves pizza by the slice
849,  is there a place within 10 minutes that has great atmosphere for a special meal
850,  is there a ponderosa near here
851,  is there a pool side night club nearby
852,  is there a portuguese restaurant nearby
853,  is there a rancho veo restaurant in north memphis
854,  is there a real cheap place to eat in kendall square at 8 pm
855,  is there a reasonably priced restaurant that has perfect portion sizes
856,  is there a red lobster in the area
857,  is there a restaurant around here that serves chicken wings
858,  is there a restaurant around where i could watch a football game it needs to be kid friendly
859,  is there a restaurant close by that has dancing and serves scallops
860,  is there a restaurant close by with valet parking
861,  is there a restaurant in inman square that is after 9 pm 7 days a week
862,  is there a restaurant in the south end that has a fireplace and serves good portions
863,  is there a restaurant on the way
864,  is there a restaurant on waverly street that is priced competitively
865,  is there a restaurant that has a 5 star rating for it that people like
866,  is there a restaurant that serves tacos before noon in charlestown
867,  is there a restaurant with a bar scene nearby that serves small portioned meals and snacks
868,  is there a sbarro in the galleria mall
869,  is there a sclafani italian bakery nearby with a view
870,  is there a seafood restaurant around here
871,  is there a small place in franklin that has beans
872,  is there a smoking section at olive garden
873,  is there a sports bar within a mile of the minneapolis convention center
874,  is there a starbucks on the west side of town
875,  is there a sudbury pizza place thats within 10 miles
876,  is there a swensens restaurant in the north end
877,  is there a taco joint near the college
878,  is there a taqueria el rancho grandes around here for taking a date
879,  is there a thai restaurant with a great wine list
880,  is there a vegan restaurant within 5 miles
881,  is there a very high end pastry place close to me
882,  is there a wah sang restaurant with a great beer list
883,  is there a wangs fast food near providence highway
884,  is there a white castle on berkeley avenue
885,  is there an all asia cafe nearby
886,  is there an apple bees near by or similar bar and grill
887,  is there an applebees in hicksville ny with a special 10 menu
888,  is there an english style restaurant open until midnight in north weymouth
889,  is there an environmentally friendly restaurant nearby
890,  is there an expensive hotel named sidney and hampton with dining services
891,  is there an expensive restaurant near here
892,  is there an ihop near by
893,  is there an indian restaurant within 5 miles that has a dinner buffet
894,  is there an italian bistro nearby
895,  is there an italian place nearby
896,  is there an olive garden in kendall square with private dining rooms
897,  is there an open taco bell nearby
898,  is there an restaurant in this part of town that serves thai food
899,  is there an s and i to go nearby that has small portions
900,  is there any 24 hour deli on the west side of town
901,  is there any chinese food nearby
902,  is there any cuban food nearby with authentic dining
903,  is there any good pizza in the area
904,  is there any place around that has bring your own liquor
905,  is there any place in this area that has outdoor seating
906,  is there any place nearby that serves seafood
907,  is there any place on the waterfront that does not allow smoking on the outside decks
908,  is there any place open after 9 pm
909,  is there any place that i can get a quick meal that isnt fast food
910,  is there any place where i can take my pet
911,  is there any red lobster by the mall
912,  is there any restaurant close by has live music
913,  is there any restaurant in the city that serves congee
914,  is there any restaurant near kendall square that delivers tea
915,  is there any restaurant that serves fried chicken late night
916,  is there any sandwich shop by the high school
917,  is there anywhere in kendall square that has tea and delivers
918,  is there anywhere near here that is open 24 hours and serves breakfast
919,  is there anywhere near me that i can find a great sandwich
920,  is there anywhere thats open past 1 am with exceptional prices
921,  is there anywhere to eat after 10 p m
922,  is there caribbean food around here
923,  is there food near by
924,  is there moderately priced food near
925,  is there more than one fatty fish restaurant on long island
926,  is there parking at pierres
927,  is there somewhere to eat that is kid friendly
928,  is this restaurant a hidden find
929,  is this restaurant a local favorite
930,  is this restuarant open 7 days a week
931,  is togos smoke free
932,  is ye olde cottage restaurant on the way i need a place to take some clients
933,  its 10 pm is anything open
934,  jeez the traffic is horrible today it looks like we need something quick off to donalds
935,  kid friendly restaurant never design center place with uper nice service
936,  king fung garden two with parking
937,  lets find the fanciest french cuisine in the city
938,  lets get some fries
939,  lets go get a taco
940,  list all restaurants that cater to families within a ten mile location of my current location
941,  list close restaurants
942,  list the nearest mcdonalds to 87 th and ashland
943,  lobster roll
944,  local fish tacos
945,  local hooters
946,  local mcdonalds please
947,  local restaurant joints with smoking areas
948,  local subway resturant
949,  locate a five star restaurant that is open after 10 pm
950,  locate a place to eat that serves milk shakes
951,  locate a sushi restaurant and give me their phone number
952,  locate all mcdonalds within 5 miles
953,  locate an all you can eat buffet
954,  locate bar with alcohol
955,  locate the nearest fast food restaurant
956,  locate the nearest restraunt
957,  look for inexpensive authentic mexican restaurants in chattanooga tennessee
958,  look up the reviews for this new asain restaurant
959,  looking for a 5 star restaurant that serves a great steack
960,  looking for a diner with comfortable atmosphere and a rustic setting
961,  looking for a drive through restaurant close by opened 24 7
962,  looking for a good place to get cheese fries
963,  looking for a high end italian restaurant within a 5 miles
964,  looking for a kfc
965,  looking for a kid friendly restaurant in mid price range
966,  looking for a restaurant with the highest approval ratings
967,  looking for a strong fair priced restaurant that is near
968,  looking for a tai restaurant that is nerby that takes online reservations
969,  looking for a three star restaurant along my current route within the next hundred miles and not more then a mile off route any suggestions
970,  looking for an expensive seafood place make a reservation for 6 people at 6 00
971,  looking for anything open before 7 a m nearby offering hip music
972,  looking for breakfast restaurants with byob
973,  looking for californian cuisine with great prices
974,  looking for crowd pleasing fatz along the way
975,  looking for d k bakery near here where the stars hang out
976,  looking for duck dish with great pricing and good rating
977,  looking for freebirds world burrito that is open late
978,  looking for hotel dining on central square with great pricing
979,  looking for local pizzahut
980,  looking for olympic house of pizza for lunch any close by
981,  looking for reasonably priced diners
982,  looking for sebastians restaurant offering generous portions
983,  looking for star hangout close by called marios italian restaurant
984,  looking for sushi with prix fixe menu at a reasonable price
985,  looking for tapas cuisine with great prices
986,  looking for the cheapest place to eat im on a budget
987,  looking for tom yum cafe around here with excellent prices
988,  looking for tuna dishes that offer parking
989,  looking for urban gourmet on bay road with great wine lists
990,  looking for very cheap sake restaurant that allows smoking
991,  make a 5 00 p m reservation for black angus
992,  make a reservation for 3 people at 8 pm tonight at the melting pot in towson
993,  make a reservation for six pm at a french restaurant with at least a 4 star rating
994,  make a reservation for us at the french restaurant for tonight at 8 pm also give us the dress code for the restaurant
995,  make a reservation tonight for four at billies steakhouse
996,  make me a reservation for a restaurant with a nonsmoking patio and that isnt fancy for 30 minutes from now
997,  make me reservations for three people at devitos italian
998,  may i have the business hours for the nearest red lobster
999,  mexican food
1000,  mexican food to go
1001,  mexican restaurant nearby
1002,  moderately priced seafood restaurant
1003,  my date and i would like some espresso thats within 10 min
1004,  my kids need lunch can you help
1005,  my kids want a happy meal
1006,  my kids want to sit outside and eat cheeseburgers
1007,  my nephew loves burgers where is the nearest five guys
1008,  name the local buffets
1009,  navigate me to a thai restaurant thats 4 stars or higher
1010,  nearest fast food restaurant
1011,  need a four star restaurant in a hotel
1012,  need a reservation for six pm at the steak shack in detroit for four people and possibly a baby for tonight
1013,  newbury street bakery and deli directions
1014,  nyc 5 star pizza parlors
1015,  of the restaurants that require suit jackets for men which have the best service and food
1016,  please find a high end restaurant that i can take my clients to
1017,  please find a japanese place that near an indian restaurant
1018,  please find a mexican restaurant with a smoking section and more then 1 star review
1019,  please find a restaurant where i can order cocktails with lunch
1020,  please find a taco place near my house
1021,  please find italian restaurants that are child friendly
1022,  please find me a cheap chinese restaurant nearby
1023,  please find me a child friendly diner with a tv
1024,  please find me a non smoking restaurant that serves seafood i also want on site parking
1025,  please find me the nearest thai place
1026,  please find the address of international house of pancakes
1027,  please find the closest midpriced sit down restaurant with chicken tenders or macaroni on the kids meal
1028,  please get me the street address of the dennys in this area
1029,  please give me directions to the nearest made to order place where i can get a cheeseburger
1030,  please give me the hours of operation for the burger king nearest me
1031,  please help me locate a restaurant that allows smoking
1032,  please list restaurants that serve alcohol within 5 miles
1033,  please locate a bar off of main street down town that has valet parking is open late and has good reviews
1034,  please locate a mcdonalds
1035,  please make me a reservation for tonight at jax cafe at 7 pm for six
1036,  please name all restaurants that offer curb side pick up on highway 43 south
1037,  please navigate to the closest coffee shop with free trade coffee
1038,  please show me some reviews about the sushi place
1039,  please take me to a highly rated family diner
1040,  pub
1041,  quick i need a hot dog
1042,  reasonably priced byob irish restaurant
1043,  red lobster with no smoking
1044,  red robins restaurant
1045,  restaurant that caters to children and that is fun for parents and kids alike
1046,  restaurants in the area
1047,  restaurants that take visa or master card
1048,  restuarnt that cathay owns
1049,  search for a buffet that is a smoke free environment within 5 miles of my location
1050,  search for a place that serves meatloaf
1051,  search for dine in restaurant
1052,  search for fast food places that also have a kid play area
1053,  search for restaurants with seafood
1054,  show me a inexpensive restaurant within 10 miles
1055,  show me all of the local restaurants with a smoking area
1056,  show me all the restaurants that are not franchises in my area
1057,  show me restaurants that serve senior portions
1058,  show me some cheap eats
1059,  show me some mexican restaurants that arent too far
1060,  show me some restaurants nearby that have 3 star or higher rating
1061,  show me the moderately priced japanese restaurants in a ten mile radius
1062,  show me the three closest wendys
1063,  show me the three nearest boston market restaurants
1064,  show me where the nearest sports bar is
1065,  smoke friendly restaurants
1066,  some jerky would make my day
1067,  someplace where the prices for food arent bad and i can get something to eat before 8 am
1068,  strega restaurant and lounge offering local cuisine
1069,  suppose im looking for the best fish in sd
1070,  tacos stand near my location
1071,  take me for the best dessert today
1072,  take me to a hole in the wall that has high reviews is open late and serve drinks
1073,  take me to a local restaurant
1074,  take me to a nice restaurant with generous portions
1075,  take me to a restaurant i would like
1076,  take me to the closest restaurant i can smoke in
1077,  take me to the nearest tex mex restaurant
1078,  tell me the hours of chipotle in midtown
1079,  tell me what restaurants are available within a 5 minute drive
1080,  tell me where i can find a good meal in this town
1081,  thai
1082,  the most expensive restaurant in town with a dress code and reservations
1083,  the opening times of nearby pizza places
1084,  today is a good day for some tacos off to taco bell
1085,  tummys grumbling give me the nearest fast food joint
1086,  want mushrooms near mansfield avenue before 7 am
1087,  want to find a restaurant that specilizes in spagetti
1088,  we have a crying baby how far is a place to eat that is kid friendly
1089,  we want t go to dinner and then dance
1090,  what are some fine dining restaurants in the area
1091,  what are some of the best restaurants in this city
1092,  what are some of the locally favourite restaurants
1093,  what are some restaurants that serve american food that are with in one mile
1094,  what are the average prices for lunch at mikanos
1095,  what are the directions to siu kuen chinese restaurant
1096,  what are the directions to the speakeasy cafe
1097,  what are the fast food restraurants on the next 6 miles of this road
1098,  what are the hours to verazzanos
1099,  what are the portions like at red lobster
1100,  what are the prices like at gregorys restaurant
1101,  what are the reviews on this italian restaurant
1102,  what are the spiciest local favourites served at cappys pizza and subs
1103,  what are the three highest rated restaurants in my area
1104,  what asian restaurants offer carry out
1105,  what chicken restaurants are in the area
1106,  what do you know about restaurants that have impressive wine lists
1107,  what fast food is near by
1108,  what has the best dumplings in town
1109,  what high end restaurants are nearby
1110,  what is a family friendly restaurant in dorche that serves vietnamese food
1111,  what is an italian restaurant in the area with family style meals
1112,  what is dominos numbers
1113,  what is jack in the box phone number
1114,  what is the address to burger king on route 63
1115,  what is the average mealcost for townline pizza in my city
1116,  what is the average price for lunch at olive garden
1117,  what is the average price range at ruby tuesday
1118,  what is the best coffee house near here
1119,  what is the best ice cream parlor
1120,  what is the best mexican restaurant in town
1121,  what is the best pizza place in the theater district
1122,  what is the best restaurant around
1123,  what is the best steak house in kansas city mo
1124,  what is the closest bar near heidis restaurant
1125,  what is the closest chic fil a
1126,  what is the closest fast food to me
1127,  what is the closest wendys to me
1128,  what is the dress code at fazolis
1129,  what is the dress code at the precinct
1130,  what is the dress code for eating at planet hollywood
1131,  what is the dress code for ruth chris steakhouse
1132,  what is the entree price at kiosque
1133,  what is the fastest route to the sonic
1134,  what is the favorite type of food people eat out here and where can i get it
1135,  what is the highest rated thai restaurant in austin
1136,  what is the most closest eat in restaurant in the area
1137,  what is the most expensive restaurant with a dress code and valet parking within 15 miles
1138,  what is the most popular italian restaurant near me
1139,  what is the name of that expensive greek restaurant in alston
1140,  what is the name of the restaurant within 50 miles of chatswin that was built inside a cavern
1141,  what is the name or phone number of the coffee shop on seminary street
1142,  what is the nearest fast food restaurant
1143,  what is the phone number for the closest chinese restaurant
1144,  what is the phone number of a nearby restaurant that serves garlic shrimp
1145,  what is the phone number of bills pizza
1146,  what is the phone number of the mcdonalds on the east side of town
1147,  what is the phone number to alans on oak street
1148,  what is the price for a lobster entree at martys marina
1149,  what is the price range for dinner at clarkes family restaurant
1150,  what is the rating for pho saigon in mesa arizona
1151,  what is the rating on arbys
1152,  what is the rating on burger island
1153,  what is this months special at mcdonalds
1154,  what italian restaurant is open 24 hours on dalton street
1155,  what kind of atmosphere does simpsons have
1156,  what kind of chicken dishes does theos serve
1157,  what kind of fondue does the magic kettle have
1158,  what kind of food does abc cafe serve
1159,  what kind of food does this place have
1160,  what kind of food does ubice sell
1161,  what kosher restaurants still have smoking sections
1162,  what local restaurants have an outdoor play area for young children
1163,  what nearby is open past midnight and has fabulous service
1164,  what nearby places are byob
1165,  what nearby restaurant has the best reviews
1166,  what nearby restaurants serve grilled tilapia
1167,  what pancake restaurants are nearby
1168,  what pizza place has the best toppings and is no farther than 4 miles
1169,  what place in saugus has the best decor
1170,  what places are cheap here
1171,  what places have great selections of beer
1172,  what places have pretty good prices
1173,  what places in roxbury are open before 8 am and have excellent service
1174,  what places serve dinner late
1175,  what portugeese restaurant is on colonel bell drive
1176,  what restaurant are cheap and only vegan
1177,  what restaurant are open till 10 pm
1178,  what restaurant has middle eastern food and great service
1179,  what restaurant is expensive and has entertainment
1180,  what restaurant is open till 9 pm
1181,  what restaurant nearby are affordable
1182,  what restaurant on the south side has the hottest sauce for their chicken wings
1183,  what restaurant sells crab close by
1184,  what restaurant serves burritos 7 days per week
1185,  what restaurant serves the largest portions of meat within 10 mile
1186,  what restaurant within 25 miles has the poorest quality food
1187,  what restaurants are close to the museum
1188,  what restaurants are nearby
1189,  what restaurants are open in the downtown area
1190,  what restaurants are open past midnight
1191,  what restaurants are still open this late
1192,  what restaurants are within 1 mile and have good prices
1193,  what restaurants around here have free wi fi
1194,  what restaurants downtown is open after 9 p
1195,  what restaurants have a large beer menu and are close to a hotel
1196,  what restaurants have nice family friendly brunch on weekends
1197,  what restaurants nearby serve ribs and ice cream sundaes
1198,  what restaurants stay open after 2 am within 5 miles
1199,  what route should i take in order to get to the closest fast food place
1200,  what seafood place around here has the biggest portions
1201,  what time does is breakfast over at burger king
1202,  what time does jollibees open
1203,  what time does kareems restaurant open
1204,  what time does king palace serve dimsum until
1205,  what time does little johns open on sunday
1206,  what time does mcdonalds in main street open
1207,  what time does on the rocks on seminary stop serving food
1208,  what time does papa johns close
1209,  what time does red robin close
1210,  what time does sonic burger open
1211,  what time does sonic open
1212,  what time does subway open
1213,  what time does the burger king on main street closes
1214,  what time does the nearest chipotle close
1215,  what time does the pho place in reno close
1216,  what time does the sushi place near me open
1217,  what time is happy hour at the juice shop
1218,  what time of the day does mcdonals start serving lunch the one near here
1219,  what type of cusine does gates have
1220,  what vegetarian options does zaxbys offer
1221,  what would be an impressive restaurant for me to take a future business partner to
1222,  whats a cheap place near melrose that serves pakistani styled kabobs
1223,  whats a good restaurant for a casual date
1224,  whats a nicely priced southwestern place near here
1225,  whats a popular place to east
1226,  whats an expensive belgian restaurant in san diego
1227,  whats open after noon
1228,  whats the address of best locally owned sub sandwich shop
1229,  whats the best barbeque restaurant in memphis
1230,  whats the best french style cafe in sacramento
1231,  whats the best indian restaurant in the area
1232,  whats the best place around here to get cheese
1233,  whats the best restaurant within 10 blocks from us
1234,  whats the cheapest fast food restaurant that has a play area for children
1235,  whats the closest and cheapest bistro nearby
1236,  whats the closest chinese food place
1237,  whats the closest pizza restaurant
1238,  whats the closest restaurant with a full salad bar
1239,  whats the most expensive restaurant on the back bay thats open until midnight
1240,  whats the most popular steak house around here
1241,  whats the nearest pizza place that serves anchovies
1242,  whats the phone number for that family owned thai restaurant on the north side
1243,  whats the phone number the restaurant i just pass
1244,  whats the phone number to bouchon in napa
1245,  whats the shortest route to mcdonalds
1246,  when does better burger open today
1247,  when does churchs open
1248,  when does dominos open
1249,  when does pizza patron open
1250,  when does subway open
1251,  when does white castle close
1252,  where are some fast food joints in driving distance to here
1253,  where are some mexican restaurants
1254,  where are the restaurants with a formal dress code around here
1255,  where can a group be served omelets
1256,  where can get some fried chicken
1257,  where can i dine outside and eat pork chops
1258,  where can i eat a nice sit down dinner and have some pho
1259,  where can i eat african food for cheap
1260,  where can i eat around here
1261,  where can i eat by the water close by
1262,  where can i eat pita bread late at night
1263,  where can i eat that delivers food
1264,  where can i eat that has valet parking
1265,  where can i eat that isnt cheap
1266,  where can i eat that wont need a reservation and that i can be at in 20 minutes
1267,  where can i find a cambodian restaurant that also sells ingredients
1268,  where can i find a cheap place to eat in peabody
1269,  where can i find a coffee shop within 10 miles that is not part of a chain
1270,  where can i find a coffee zone that has dining at the bar and a good rating
1271,  where can i find a cracker barrel near miami
1272,  where can i find a good brepub that is open after 11 pm
1273,  where can i find a good place to eat that is in within miles from me
1274,  where can i find a good pork chop
1275,  where can i find a good restaurant in the theatre district
1276,  where can i find a high end restaurant on chestnut street open after 11 pm
1277,  where can i find a late night taco joint
1278,  where can i find a nice gelato place that offers carryout
1279,  where can i find a place for people watching nearby
1280,  where can i find a place that serves gelato
1281,  where can i find a place to eat that serves pasta
1282,  where can i find a place with a great wine list
1283,  where can i find a place within 5 minutes with great prices
1284,  where can i find a rainforest cafe
1285,  where can i find a restaurant near me
1286,  where can i find a restaurant that has good portions and is open at 9 p
1287,  where can i find a restaurant with a vegetarian senior discount menu
1288,  where can i find a seafood restaurant that also sells fresh fish
1289,  where can i find a sports bar in nassau county new york
1290,  where can i find a thai restaurant that is non smoking
1291,  where can i find authentic mexican cuisine at a great price
1292,  where can i find bobby hacketts restaurant
1293,  where can i find cheap vegan food
1294,  where can i find good irish food
1295,  where can i find halal with a price not so high
1296,  where can i find naugles
1297,  where can i find somewhere relaxed thats open in the morning around beacon hill
1298,  where can i find the best sushi in town
1299,  where can i find the cheapest burgers in town
1300,  where can i find the cheapest pizza
1301,  where can i find the cheapest take out chinese food
1302,  where can i find the closest bakery
1303,  where can i find the highest rated breakfast burrito
1304,  where can i find tofu in city hall plaza with parking
1305,  where can i get a banana split
1306,  where can i get a burger
1307,  where can i get a cheap dinner
1308,  where can i get a cheap slice of pizza in huntington ny
1309,  where can i get a good bagel from
1310,  where can i get a good deal on two pizzas in manhattan
1311,  where can i get a good sandwich for a good price
1312,  where can i get a great tofu omelette in wayland
1313,  where can i get a hamburger
1314,  where can i get a hamburger between thompson falls and plains
1315,  where can i get a healthy lunch
1316,  where can i get a milkshake within walking distance
1317,  where can i get a pho king sized bowl
1318,  where can i get a pricey drink on kendall square
1319,  where can i get a taco for a dollar
1320,  where can i get an appitizer in american legion highway
1321,  where can i get bagels
1322,  where can i get barbecue no farther than 5 miles
1323,  where can i get caribbean food not far from here in a romantic setting
1324,  where can i get cheap food at 5 pm in alston
1325,  where can i get decent inexpensive sushi in glen cove ny
1326,  where can i get doughnuts right now
1327,  where can i get eggrolls
1328,  where can i get fish
1329,  where can i get large portions of fish with a group of interesting folk
1330,  where can i get nachos within 1 mile of me that is open late
1331,  where can i get reasonably priced sashimi at 8 pm
1332,  where can i get some chicken nuggets
1333,  where can i get some cookies
1334,  where can i get some crab nearby that is open until 2 am
1335,  where can i get some fast food
1336,  where can i get some good coffee
1337,  where can i get some ice cream
1338,  where can i get some macaroni and cheese
1339,  where can i get some shrimp
1340,  where can i get some slushy
1341,  where can i get some southern food
1342,  where can i get some spaghetti
1343,  where can i get some sushi
1344,  where can i get some waffles
1345,  where can i get something inexpensive to eat near my current location
1346,  where can i get starbucks around me
1347,  where can i get the best pie
1348,  where can i get the top rated hamburger in baltimore
1349,  where can i get vegan food
1350,  where can i go for expensive gelato for carry out
1351,  where can i go to eat
1352,  where can i go to get a sandwich around here
1353,  where can i have a glass of wine in jamaica plain that also does not allow smoking
1354,  where can i order fried chicken to eat
1355,  where can i take a date nearby for enchiladas
1356,  where can i take coworkers for excellent priced food
1357,  where can i take my 5 year old nephew to eat
1358,  where can i take my date for a cheap meal in charlestown
1359,  where can i take my kids for good tacos
1360,  where can i take my kids to eat
1361,  where can i take my kids to get an omelet
1362,  where can we find a french inspired restaurant
1363,  where could i eat sushi on the waterfront
1364,  where could i find some good tomato sauce thats 10 minutes away with excellent pricing
1365,  where could i get some cakes in a business atmosphere thats open until 1 am
1366,  where could i go for a burger and a movie
1367,  where could i go for a roast beef sandwich right now
1368,  where do i park to go to the butcher and the boar
1369,  where i can get seafood and bring my own drinks
1370,  where in beverly can i bring a group to an italys little kitchen
1371,  where in the theater district is there a restaurant with portions that are a bit small
1372,  where is a bob evans on diauto drive with moderate portions
1373,  where is a cheap restaurant in the north end that serves burritos
1374,  where is a good place to eat
1375,  where is a good place to get seafood
1376,  where is a good restaurant on the water
1377,  where is a kid friendly pizza place with games
1378,  where is a kosher place for lunch
1379,  where is a late night ethiopian place that we can go after 2 am
1380,  where is a reasonably price japanese restaurant downtown
1381,  where is a restaurant open till midnight near west bridgewater with really friendly service
1382,  where is a restaurant that opens 24 hours
1383,  where is a romantic place to get a sub near here
1384,  where is an italian restaurant with outdoor seating
1385,  where is an italos bakery along this route that has waterfront dining
1386,  where is charlotte nc
1387,  where is dominos
1388,  where is dominos pizza
1389,  where is good ethnic food
1390,  where is ii moro
1391,  where is jack in the box
1392,  where is long john silvers
1393,  where is p f changs
1394,  where is pizza express
1395,  where is roosevelts restaurant and sin in framingham
1396,  where is some good outdoor dining
1397,  where is sportsway bar at melrose
1398,  where is station donuts
1399,  where is subway
1400,  where is that restaurant where you can order burgers and fries and watch a movie while you eat
1401,  where is the apple store in the area
1402,  where is the best italian food in the city
1403,  where is the best korean bbq
1404,  where is the best mediterranean restaurant
1405,  where is the best rated fast food establishment
1406,  where is the best reviewed place to get a burger and fries near beacon hill
1407,  where is the cheapest place to eat nearest to me
1408,  where is the closest 5 star restaurant
1409,  where is the closest apple bees
1410,  where is the closest chillis to my current location
1411,  where is the closest fine dining restaurant
1412,  where is the closest happy hour
1413,  where is the closest international brownie
1414,  where is the closest jimmie johns
1415,  where is the closest non smoking restaurant
1416,  where is the closest pizza hut
1417,  where is the closest place to get cheap potatoes
1418,  where is the closest place to get pizza
1419,  where is the closest red robin
1420,  where is the closest restaurant that serves chinese food
1421,  where is the closest sub or sandwich shop that serves gyros
1422,  where is the closest sushi bars to my zip code
1423,  where is the closest tgi fridays
1424,  where is the closest tim hortons restaurant
1425,  where is the different locations of taco bell
1426,  where is the nearest 4 star restaurant
1427,  where is the nearest asia express restaurant
1428,  where is the nearest bar with dinning located
1429,  where is the nearest buffet
1430,  where is the nearest burger place
1431,  where is the nearest casual restaurant
1432,  where is the nearest chinese restaurant with more than 3 stars that is under 10 an entree
1433,  where is the nearest family restaurant
